mazo,archivo,color_banda_hex,peligro_nombre,peligro_poder,peligro_dano,peligro_cartas_gratis,peligro_arte_prompt,tecnica_nombre,tecnica_poder,tecnica_efecto,tecnica_texto_sabor,tecnica_arte_prompt,arte_generar_px,arte_final_px,carta_px
Alba,cartas/alba1.jpg,#4F9E63,Mosquito del Templo,1,1,2,"un mosquito enorme y engreído flotando en el aire, las alas zumbando, ojitos furiosos, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Garra Inicial,2,—,Tu primer movimiento que parece intencional.,"un monje novato sosteniendo una postura de garra que por fin parece intencional, con una pequeña sonrisa de orgullo, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Alba,cartas/alba2.jpg,#4F9E63,Bandido con Palo Podrido,2,1,3,"un bandido desaliñado blandiendo un palo de madera podrido que se le está desarmando en la mano, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Puño del Bambú,2,+1 ⚡ si ganás,,"un monje novato golpeando limpiamente una caña de bambú, con una onda de energía verde alrededor del puño, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Alba,cartas/alba3.jpg,#4F9E63,Jarra de Té Volcada,1,1,2,"una tetera de barro volcada derramando té sobre las tablas del templo, con vapor subiendo, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Equilibrio,1,+1 🃏,Aprendiste a no tropezar con tu propio pie.,"un monje novato parado perfectamente quieto sobre un pie en un poste de piedra, calmo y centrado, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Alba,cartas/alba4.jpg,#4F9E63,Siesta Tentadora,2,2,3,"una estera de dormir enrollada que brilla invitante como un tesoro, con pequeños símbolos de sueño flotando alrededor, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Despertar Brusco,3,−1 ⚡,El Maestro te tiró un balde de agua fría.,"un monje novato empapado y completamente despierto, con un balde de madera vacío todavía girando sobre su cabeza, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Alba,cartas/alba5.jpg,#4F9E63,Gato Guardián del Templo,1,1,2,"una gata atigrada gorda y tuerta sentada sobre las tejas del templo, mirando con desprecio absoluto, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Rascada Felina,2,—,Aprendiste del mejor luchador del templo.,"un monje novato lanzando un zarpazo con los dedos en garra, con tres marcas de arañazo cortando el aire, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Alba,cartas/alba6.jpg,#4F9E63,Compañero Burlón,2,1,3,"un monje adolescente con sonrisa burlona y cinturón verde apoyado en un poste, señalando y riéndose, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Mirada Fija,1,+2 🃏,Lo asustaste con tus ojos de novato hambriento.,"primerísimo plano de la mirada intensa y sin parpadeo de un monje novato, hambriento y un poco perturbado, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Alba,cartas/alba7.jpg,#4F9E63,Piedra en el Zapato,1,1,2,"un pie descalzo levantado de dolor con una piedrita filosa clavada en la planta, con líneas de movimiento, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Paso Firme,2,—,Por fin usás zapatillas de entrenamiento.,"un monje novato plantando con firmeza una zapatilla de entrenamiento sobre la piedra, con polvo saliendo alrededor de la suela, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Alba,cartas/alba8.jpg,#4F9E63,Soga de Saltar Rota,2,2,3,"una soga de saltar partida al medio, con los dos extremos deshilachados saliendo volando en el aire, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Salto del Novato,3,—,Tocaste las campanas del templo con la cabeza.,"un monje novato saltando alto y golpeando con la cabeza una campana colgante del templo, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Alba,cartas/alba9.jpg,#4F9E63,Araña en el Tazón de Arroz,1,1,2,"una araña chiquita sentada tranquila en el medio de un tazón de arroz blanco, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Reflejo,1,+1 ⚡,La araña sobrevivió. Vos también.,"un monje novato atrapando en el aire con dos dedos un grano de arroz que caía, con estela de movimiento, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Alba,cartas/alba10.jpg,#4F9E63,Viento Frío de la Mañana,2,1,3,"una ráfaga de viento frío de la mañana doblando cañas de bambú, con líneas de viento blancas arremolinadas y escarcha en las hojas, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Resistencia,2,—,El frío fortalece el espíritu. Vos solo querés una frazada.,"un monje novato firme contra el viento frío, con la túnica azotada hacia atrás y la mandíbula apretada, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
