mazo,archivo,color_banda_hex,peligro_nombre,peligro_poder,peligro_dano,peligro_cartas_gratis,peligro_arte_prompt,tecnica_nombre,tecnica_poder,tecnica_efecto,tecnica_texto_sabor,tecnica_arte_prompt,arte_generar_px,arte_final_px,carta_px
Dawn,cartas/alba1.jpg,#7BC67E,Temple Mosquito,1,1,2,"un mosquito enorme y engreído flotando en el aire, las alas zumbando, ojitos furiosos, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",First Claw,2,—,Your first move that looks like you meant it.,"un monje novato sosteniendo una postura de garra que por fin parece intencional, con una pequeña sonrisa de orgullo, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Dawn,cartas/alba2.jpg,#7BC67E,Bandit with a Rotten Stick,2,1,3,"un bandido desaliñado blandiendo un palo de madera podrido que se le está desarmando en la mano, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Bamboo Fist,2,+1 ⚡ si ganás,,"un monje novato golpeando limpiamente una caña de bambú, con una onda de energía verde alrededor del puño, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Dawn,cartas/alba3.jpg,#7BC67E,Spilled Teapot,1,1,2,"una tetera de barro volcada derramando té sobre las tablas del templo, con vapor subiendo, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Balance,1,+1 🃏,You learned not to trip over your own foot.,"un monje novato parado perfectamente quieto sobre un pie en un poste de piedra, calmo y centrado, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Dawn,cartas/alba4.jpg,#7BC67E,Tempting Nap,2,2,3,"una estera de dormir enrollada que brilla invitante como un tesoro, con pequeños símbolos de sueño flotando alrededor, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Rude Awakening,3,−1 ⚡,The Master threw a bucket of cold water at you.,"un monje novato empapado y completamente despierto, con un balde de madera vacío todavía girando sobre su cabeza, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Dawn,cartas/alba5.jpg,#7BC67E,Temple Guard Cat,1,1,2,"una gata atigrada gorda y tuerta sentada sobre las tejas del templo, mirando con desprecio absoluto, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Cat Scratch,2,—,You learned from the best fighter in the temple.,"un monje novato lanzando un zarpazo con los dedos en garra, con tres marcas de arañazo cortando el aire, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Dawn,cartas/alba6.jpg,#7BC67E,Smug Classmate,2,1,3,"un monje adolescente con sonrisa burlona y cinturón verde apoyado en un poste, señalando y riéndose, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Dead Stare,1,+2 🃏,You scared him off with your hungry rookie eyes.,"primerísimo plano de la mirada intensa y sin parpadeo de un monje novato, hambriento y un poco perturbado, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Dawn,cartas/alba7.jpg,#7BC67E,Pebble in Your Shoe,1,1,2,"un pie descalzo levantado de dolor con una piedrita filosa clavada en la planta, con líneas de movimiento, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Steady Step,2,—,You finally got proper training shoes.,"un monje novato plantando con firmeza una zapatilla de entrenamiento sobre la piedra, con polvo saliendo alrededor de la suela, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Dawn,cartas/alba8.jpg,#7BC67E,Snapped Jump Rope,2,2,3,"una soga de saltar partida al medio, con los dos extremos deshilachados saliendo volando en el aire, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Rookie Leap,3,—,You rang the temple bells with your head.,"un monje novato saltando alto y golpeando con la cabeza una campana colgante del templo, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Dawn,cartas/alba9.jpg,#7BC67E,Spider in the Rice Bowl,1,1,2,"una araña chiquita sentada tranquila en el medio de un tazón de arroz blanco, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Reflex,1,+1 ⚡,The spider made it. So did you.,"un monje novato atrapando en el aire con dos dedos un grano de arroz que caía, con estela de movimiento, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Dawn,cartas/alba10.jpg,#7BC67E,Cold Morning Wind,2,1,3,"una ráfaga de viento frío de la mañana doblando cañas de bambú, con líneas de viento blancas arremolinadas y escarcha en las hojas, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Endurance,2,—,Cold strengthens the spirit. You just want a blanket.,"un monje novato firme contra el viento frío, con la túnica azotada hacia atrás y la mandíbula apretada, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
